azureLocation,Type,block_face_key,WKT
,permit,,POINT(-120.851701 37.768363)
,permit,,POINT(-120.850118 37.766336)
,paid,,POINT(-120.850346 37.766318)
,permit,,POINT(-120.851544 37.768439)
,loading,,POINT(-120.850906 37.767166)
,loading,,POINT(-120.850796 37.767322)
,paid,,POINT(-120.850771 37.767939)
,loading,,POINT(-120.850856 37.768072)
,permit,,POINT(-120.850861 37.768738)
,paid,,POINT(-120.850688 37.768807)
,paid,,POINT(-120.846805 37.765307)
,loading,,POINT(-120.849156 37.767124)
,loading,,POINT(-120.849974 37.765764)
,loading,,POINT(-120.850054 37.766919)
,paid,,POINT(-120.850076 37.767569)
,permit,,POINT(-120.849349 37.76406)
,loading,,POINT(-120.849444 37.764188)
,loading,,POINT(-120.849379 37.764883)
,paid,,POINT(-120.849218 37.76495)
,loading,,POINT(-120.849792 37.765824)
,permit,,POINT(-120.849293 37.765736)
,paid,,POINT(-120.849304 37.766408)
,permit,,POINT(-120.849964 37.766787)
,paid,,POINT(-120.849244 37.767251)
,loading,,POINT(-120.849913 37.767636)
,permit,,POINT(-120.849907 37.768294)
,paid,,POINT(-120.849993 37.768434)
,loading,,POINT(-120.849998 37.769092)
,paid,,POINT(-120.84983 37.769161)
,paid,,POINT(-120.848426 37.764453)
,paid,,POINT(-120.848518 37.764578)
,paid,,POINT(-120.847582 37.764805)
,permit,,POINT(-120.84766 37.764935)
,loading,,POINT(-120.846707 37.765175)
,permit,,POINT(-120.847665 37.765604)
,loading,,POINT(-120.849223 37.765631)
,loading,,POINT(-120.845568 37.765647)
,paid,,POINT(-120.847508 37.765665)
,loading,,POINT(-120.845662 37.765783)
,permit,,POINT(-120.848346 37.76597)
,paid,,POINT(-120.848436 37.766094)
,paid,,POINT(-120.847499 37.766327)
,permit,,POINT(-120.84758 37.76646)
,paid,,POINT(-120.84914 37.766467)
,paid,,POINT(-120.848432 37.766747)
,permit,,POINT(-120.84831 37.766879)
,permit,,POINT(-120.847585 37.767128)
,paid,,POINT(-120.847406 37.767235)
,permit,,POINT(-120.846568 37.767487)
,loading,,POINT(-120.848224 37.767516)
,paid,,POINT(-120.846436 37.7676)
,paid,,POINT(-120.84832 37.767644)
,permit,,POINT(-120.849224 37.767931)
,permit,,POINT(-120.849064 37.768004)
,paid,,POINT(-120.849054 37.768665)
,paid,,POINT(-120.849144 37.768786)
,permit,,POINT(-120.848244 37.767851)
,permit,,POINT(-120.849234 37.767584)
,paid,,POINT(-120.848918 37.768156)
,permit,,POINT(-120.848846 37.765032)
,permit,,POINT(-120.84714 37.767106)
,paid,,POINT(-120.848841 37.766398)
,permit,,POINT(-120.848233 37.767139)
,paid,,POINT(-120.844949 37.764873)
,paid,,POINT(-120.845648 37.764965)
,loading,,POINT(-120.845475 37.766702)
E C ST-N 1ST AVE-E D ST_SOUTHWEST,,E C ST-N 1ST AVE-E D ST_SOUTHWEST,"LineString (-120.85123848 37.76779924, -120.85205484 37.76902298)"
POPLAR ST-N 1ST AVE-LOTTIE ST_NORTHEAST,,POPLAR ST-N 1ST AVE-LOTTIE ST_NORTHEAST,"LineString (-120.84991747 37.76617501, -120.85020939 37.76659248)"
POPLAR ST-N 1ST AVE-LOTTIE ST_SOUTHWEST,,POPLAR ST-N 1ST AVE-LOTTIE ST_SOUTHWEST,"LineString (-120.8501613 37.76616593, -120.85042122 37.76656559)"
E C ST-N 1ST AVE-E D ST_NORTHEAST,,E C ST-N 1ST AVE-E D ST_NORTHEAST,"LineString (-120.85116524 37.76800034, -120.851813 37.76897405)"
MAGNOLIA ST-N 1ST AVE-E E ST_SOUTHWEST,,MAGNOLIA ST-N 1ST AVE-E E ST_SOUTHWEST,"LineString (-120.85054986 37.7667651, -120.8511519 37.76766238)"
MAGNOLIA ST-N 1ST AVE-E E ST_NORTHEAST,,MAGNOLIA ST-N 1ST AVE-E E ST_NORTHEAST,"LineString (-120.85044115 37.76691996, -120.85104182 37.76782015)"
N 2ND AVE-E D ST-N 1ST AVE_SOUTHEAST,,N 2ND AVE-E D ST-N 1ST AVE_SOUTHEAST,"LineString (-120.85101384 37.76786346, -120.85041937 37.76811099)"
N 2ND AVE-E D ST-N 1ST AVE_NORTHWEST,,N 2ND AVE-E D ST-N 1ST AVE_NORTHWEST,"LineString (-120.85110224 37.76799047, -120.85049935 37.76824974)"
E C ST-N 2ND AVE-E D ST_SOUTHWEST,,E C ST-N 2ND AVE-E D ST_SOUTHWEST,"LineString (-120.85048229 37.76830323, -120.85112982 37.76926755)"
E C ST-N 2ND AVE-E D ST_NORTHEAST,,E C ST-N 2ND AVE-E D ST_NORTHEAST,"LineString (-120.85030868 37.76837151, -120.85095746 37.76933824)"
S YOSEMITE AVE-E G ST-S 3RD AVE_NORTHWEST,,S YOSEMITE AVE-E G ST-S 3RD AVE_NORTHWEST,"LineString (-120.84704133 37.76523176, -120.84645882 37.76547854)"
N 3RD AVE-E E ST-N 2ND AVE_SOUTHEAST,,N 3RD AVE-E E ST-N 2ND AVE_SOUTHEAST,"LineString (-120.84938617 37.7670521, -120.84881605 37.76729173)"
LOTTIE ST-N 1ST AVE-S 1ST AVE_SOUTHWEST,,LOTTIE ST-N 1ST AVE-S 1ST AVE_SOUTHWEST,"LineString (-120.84978185 37.76559957, -120.8500566 37.76602349)"
